"","ROW_NAMES","SARS.CoV2_E","SARS.CoV2_M","SARS.CoV2_N","SARS.CoV2_nsp1","SARS.CoV2_nsp2","SARS.CoV2_nsp4","SARS.CoV2_nsp5","SARS.CoV2_nsp5_C145A","SARS.CoV2_nsp6","SARS.CoV2_nsp7","SARS.CoV2_nsp8","SARS.CoV2_nsp9","SARS.CoV2_nsp10","SARS.CoV2_nsp11","SARS.CoV2_nsp12","SARS.CoV2_nsp13","SARS.CoV2_nsp14","SARS.CoV2_nsp15","SARS.CoV2_orf3a","SARS.CoV2_orf3b","SARS.CoV2_orf6","SARS.CoV2_orf7a","SARS.CoV2_orf8","SARS.CoV2_orf9b","SARS.CoV2_orf9c","SARS.CoV2_orf10","SARS.CoV2_Spike","clusterNum","tsne1","tsne2"
"511","CDH2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4723673,0,1.114655,0,0,2,8.15548562467221,24.3740686325068
"512","NCL",0,0,63.83251,0,0,0,0,0,0,0,70.91979,0,0,0,0,0,0,0,10.39908,0,0,0,0,0,0,0,0,7,-50.9490587956145,17.2202111396679
"513","POLR2E",0,0,0.2585457,0,0,0,0,0,0,0,5.385578,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,-33.7577839791236,36.067726781581
"514","NDUFV2",0,0.3195338,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.778963,0,0,2,9.48078509196957,33.7047259220819
"515","CSNK2A2",0,0,20.30451,0,0,0,1.0256,0.8171261,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,-41.356649408077,21.2111382012695
"516","ATP2B1",0,12.23361,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.04939,0,0,2,36.8631494891969,24.9667069829368
"517","EIF2S2",4.843049,0,0,0,2.762314,0,0,0,0,0,0,0,0,0.9864412,0,1.889702,0,0,0,0,0,0.5814322,0,0,0,0,0,1,-13.2202798772489,-8.28682958373221
"518","BTF3",0,0,0,0,0,0,0,0,0,0,0,3.835126,9.415359,3.641805,0,3.585358,0,0,0,0,0,0,0,4.745486,0,0,0,8,-3.06008448478822,-20.3820862974678
"519","RAB4A",0,0,0,0,0,0,0,0,0,2.242288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,37.3335562056215,-8.81966669265769
"520","RAB6A",0,1.668979,0,0,0,0,0,0,0,2.653552,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,36.1015825169918,-7.04030468931427
"521","COX5A",0,-0.3319,0,0,1.87973,0.3042047,0,0,2.761331,2.342177,0,0,0,0.03317111,0,-0.3806632,0,0,0,0,5.271411,0,0,0,1.573162,0,0,6,8.78242477941301,6.22555200722755
"522","LMNB1",0,3.900414,0,0,62.4274,14.20859,0,0,0,0,0,0,0,0,0,11.19722,0,0,19.53426,0,0,0,0,0,-1.467434,0,0,1,-24.8680236224573,4.28161263827214
"523","HOXA5",0,0,0,0,2.842115,2.478177,0,0,0,0,0,0,0,0,0,0,7.978217,3.125165,0,0,0,0,0,0,0,0,0,4,-34.3275849818126,-13.3931675164145
"524","GSTM3",0,0,0,0,0,0,0,1.32176,0,0,0,0,0,0.6767384,0,0.262904,0,0,0,0,0,0,0,0,0,0,2.126974,1,-11.2227049096644,-0.626339439383744
"525","NF1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.368564,0,0,1.370995,0,0,6,19.0717241772083,-1.37186187217127
"526","VDAC1",-0.2031844,17.75802,0,0,0.979102,7.393991,0,0,20.02168,10.30704,0,0,0,0,0,-2.206421,0,0,-1.347775,0,27.19088,1.825774,0,0,0.83067,1.223868,-0.03986839,6,3.47220546956135,14.4021838640408
"527","SDHB",30.58333,-0.5146506,0,2.358103,0,0.06569197,0.7691902,0,0,1.089094,0,-0.05240732,0,0,0,-0.4008515,0,0,0,0,0.1577091,-0.1016904,-0.4511843,0.916258,0,-0.1265288,0,1,-17.2093008393026,-9.18003242612413
"528","BCKDHB",0,0.9990765,0,0,0,0,0,0,0,0.1128327,-0.2874887,0,0,0,1.747758,0,0,0,0,0,0,1.165592,1.931827,0,0.1680227,0,0,5,21.7633527359782,-16.8951712987882
"529","COMT",0,0.6563118,0,0,0,0,0,0,0,6.115536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,43.7961050481076,-9.85758624709272
"530","FBL",5.934566,0,9.253768,0,4.871039,0,0,0,0,0,7.998508,5.70085,0,4.539947,0,0,0,0,2.948683,0,0,0,10.66424,0,-2.531388,0,0,7,-40.5673337088577,27.2939159588578
"531","GART",0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.66079,0,0,0,0,0,0,0,0,0,0,0,0,8,6.69637053192825,-53.5444336673296
"532","PAICS",0,0,0,0,0,0,0,0,0,0,0,0,0,1.259219,0,0,0,0,0,0,0,9.585037,0,0,0,0,0,6,22.1420183346384,-0.179586530745992
